Kumasi,Medium airport,Kumasi,Ghana,KMS,DGSI,
Kampot잺losed,Closed,Kampot,Cambodia,KMT,,
Kisimayu,Medium airport,,Somalia,KMU,HCMK,
Kalay,Small airport,Kalemyo,Burma,KMV,VYKL,
Kostroma Sokerkino,Medium airport,Kostroma,Russia,KMW,UUBA,
King Khaled Air Base,Medium airport,,Saudi Arabia,KMX,OEKM,
Moser Bay잺losed,Closed,Moser Bay,United States,KMY,,
Kaoma,Small airport,Kaoma,Zambia,KMZ,FLKO,
Vi? del mar,Medium airport,Vi? Del Mar,Chile,KNA,SCVM,
Kanab잺losed,Closed,Kanab,United States,KNB,,
Kindu,Medium airport,Kindu,Congo (Kinshasa),KND,FZOA,
Kanainj,Small airport,Kanainj,Papua New Guinea,KNE,AYKJ,
RAF Marham,Medium airport,Marham,United Kingdom,KNF,EGYM,
Kaimana,Medium airport,Kaimana-Papua Island,Indonesia,KNG,WASK,
Kinmen,Large airport,Shang-I,Taiwan,KNH,RCBS,
Katanning,Small airport,,Australia,KNI,YKNG,
Kindamba,Small airport,Kindamba,Congo (Brazzaville),KNJ,FCBK,
Kokhanok,Small airport,Kokhanok,United States,KNK,PFKK,9K2
Kelanoa잺losed,Closed,Kelanoa,Papua New Guinea,KNL,,
Kaniama,Small airport,Kaniama,Congo (Kinshasa),KNM,FZTK,
Kankan,Small airport,Kankan,Guinea,KNN,GUXN,
Kualanamu International,Large airport,Medan,Indonesia,KNO,WIMM,
Capanda,Small airport,Capanda,Angola,KNP,FNCP,
Kon?Medium airport,Kon?New Caledonia,KNQ,NWWD,,,
Jam,Medium airport,Kangan,Iran,KNR,OIBJ,
King Island,Medium airport,,Australia,KNS,YKII,
Kennett Memorial,Small airport,Kennett,United States,KNT,KTKX,TKX
Kanpur,Medium airport,,India,KNU,VIKA,
Knights Inlet잺losed,Closed,Knights Inlet,Canada,KNV,,
New Stuyahok,Small airport,New Stuyahok,United States,KNW,PANW,KNW
Kununurra,Medium airport,Kununurra,Australia,KNX,YPKU,
Kinoosao잺losed,Closed,Kinoosao,Canada,KNY,,
Kenieba,Small airport,Kenieba,Mali,KNZ,GAKA,
Kona International At Keahole,Medium airport,Kailua/Kona,United States,KOA,PHKO,KOA
Koutaba잺losed,Closed,Koutaba,Cameroon,KOB,,
Koumac,Medium airport,Koumac,New Caledonia,KOC,NWWK,
Kotabangun,Small airport,Kotabangun-Borneo Island,Indonesia,KOD,,
El Tari,Small airport,Kupang-Timor Island,Indonesia,KOE,WATT,
Komatipoort,Small airport,Komatipoort,South Africa,KOF,FAKP,
Khong잺losed,Closed,Khong,Laos,KOG,,
[Duplicate] Koolatah,Small airport,Koolatah,Australia,KOH,YKLA,
Kirkwall,Medium airport,Orkney Islands,United Kingdom,KOI,EGPA,
Kagoshima,Large airport,Kagoshima,Japan,KOJ,RJFK,
Kokkola-Pietarsaari,Medium airport,Kokkola / Kruunupyy,Finland,KOK,EFKK,
Koumala잺losed,Closed,Koumala,Central African Republic,KOL,,
Komo-Manda,Small airport,Komo,Papua New Guinea,KOM,AYOO,
Kontum잺losed,Closed,Kontum,Vietnam,KON,,
Kongolo,Small airport,Kongolo,Congo (Kinshasa),KOO,FZRQ,
Nakhon Phanom,Medium airport,,Thailand,KOP,VTUW,
K?hen,Small airport,K?hen,Germany,KOQ,EDCK,
Kakoro(Koroko) Airstrip,Small airport,Kakoro,Papua New Guinea,KOR,AYRO,
Sihanoukville International,Small airport,Sihanukville,Cambodia,KOS,VDSV,
Kotlik,Small airport,Kotlik,United States,KOT,PFKO,2A9
Koulamoutou Mabimbi,Medium airport,Koulamoutou,Gabon,KOU,FOGK,
Kokshetau,Medium airport,Kokshetau,Kazakhstan,KOV,UACK,
Ganzhou,Small airport,Ganzhou,China,KOW,ZSGZ,
Kokonau,Small airport,Kokonau-Papua Island,Indonesia,KOX,WABN,
Olga Bay,Seaplane base,Olga Bay,United States,KOY,KOY,KOY
Ouzinkie잺losed,Closed,Ouzinkie,United States,KOZ,,
Kopiago,Small airport,Kopiago,Papua New Guinea,KPA,AYKG,
Point Baker,Seaplane base,Point Baker,United States,KPB,KPB,KPB
Port Clarence Coast Guard Station,Medium airport,Port Clarence,United States,KPC,PAPC,KPC
Stouffers Heliport잺losed,Closed,"King Of Prussia, PA",United States,KPD,,
Yapsiei,Small airport,,Papua New Guinea,KPE,AYYP,
Kondobol,Small airport,Kondobol,Papua New Guinea,KPF,AYDL,
Kurupung잺losed,Closed,Kurupung,Guyana,KPG,,
Pauloff Harbor SPB잺losed,Closed,Pauloff Harbor,United States,KPH,,
Kapit,Small airport,Kapit,Malaysia,KPI,WBGP,
Parks SPB잺losed,Closed,Parks,United States,KPK,,
Kapal,Small airport,Kapal,Papua New Guinea,KPL,,
Kompiam,Small airport,,Papua New Guinea,KPM,AYAQ,
Kipnuk,Small airport,Kipnuk,United States,KPN,PAKI,IIK
Pohang (G-815/K-3),Medium airport,Pohang,South Korea,KPO,RKTH,
Kalpowar,Small airport,Kalpower,Australia,KPP,YKPR,
Port Williams,Seaplane base,Port Williams,United States,KPR,KPR,KPR
Kempsey,Medium airport,,Australia,KPS,YKMP,
Jackpot/Hayden Field,Small airport,Jackpot,United States,KPT,06U,06U
Perryville,Small airport,Perryville,United States,KPV,PAPE,PEV
Port Bailey,Seaplane base,Port Bailey,United States,KPY,KPY,KPY
Akutan,Seaplane base,Akutan,United States,KQA,KQA,KQA
Koonibba잺losed,Closed,Koonibba,Australia,KQB,,
Kol,Small airport,Kol,Papua New Guinea,KQL,AYOL,
Qurghonteppa International,Medium airport,Kurgan-Tyube,Tajikistan,KQT,UTDT,
Kerang,Medium airport,,Australia,KRA,YKER,
Karumba,Small airport,,Australia,KRB,YKMB,
Departi Parbo,Small airport,Sungai Penuh,Indonesia,KRC,WIPH,
Kurundi,Small airport,Kurundi Station,Australia,KRD,YKUR,
Kirundo,Small airport,Kirundo,Burundi,KRE,HBBO,
Kramfors Sollefte?Medium airport,Kramfors / Sollefte?Sweden,KRF,ESNK,,,
Karasabai,Small airport,Karasabai,Guyana,KRG,SYKS,
Redhill Aerodrome,Small airport,Redhill,United Kingdom,KRH,EGKR,
Kikori,Small airport,Kikori,Papua New Guinea,KRI,AYKK,
Karawari Airstrip,Small airport,Amboin,Papua New Guinea,KRJ,AYQA,
John Paul II International Krak?-Balice,Large airport,Krak?,Poland,KRK,EPKK,
Korla,Medium airport,Korla,China,KRL,ZWKL,
Karanambo,Small airport,Karanambo,Guyana,KRM,SYKR,
Kiruna,Medium airport,Kiruna,Sweden,KRN,ESNQ,
Kurgan,Medium airport,Kurgan,Russia,KRO,USUU,
Karup,Medium airport,Karup,Denmark,KRP,EKKA,
Kramatorsk,Small airport,Kramatorsk,Ukraine,KRQ,UKCK,
Krasnodar Pashkovsky International,Medium airport,Krasnodar,Russia,KRR,URKK,
Kristiansand,Medium airport,Kjevik,Norway,KRS,ENCN,
Khartoum International,Large airport,Khartoum,Sudan,KRT,HSSS,
Kerau,Small airport,Gunim,Papua New Guinea,KRU,AYEA,
Kerio Valley,Small airport,Kimwarer,Kenya,KRV,,
Turkmenbashi,Medium airport,Krasnovodsk,Turkmenistan,KRW,UTAK,
Kar Kar,Small airport,Kar Kar Island,Papua New Guinea,KRX,AYKR,
Karamay,Small airport,Karamay,China,KRY,ZWKM,
Basango Mboliasa,Small airport,Kiri,Congo (Kinshasa),KRZ,FZBT,
Kosrae International,Medium airport,Okat,Micronesia,KSA,PTSA,
Kasonombe,Small airport,Kasonombe,Papua New Guinea,KSB,AYNM,
Ko쉏ce,Medium airport,Ko쉏ce,Slovakia,KSC,LZKZ,
Karlstad,Medium airport,Karlstad,Sweden,KSD,ESOK,
Kasese,Small airport,Kasese,Uganda,KSE,HUKS,
Kassel-Calden,Medium airport,Kassel,Germany,KSF,EDVK,
Kisengam잺losed,Closed,Kisenden,Papua New Guinea,KSG,,
Shahid Ashrafi Esfahani,Medium airport,Kermanshah,Iran,KSH,OICC,
Kissidougou,Small airport,Kissidougou,Guinea,KSI,GUKU,
Kasos,Small airport,Kasos Island,Greece,KSJ,LGKS,
Karlskoga,Medium airport,,Sweden,KSK,ESKK,
Kassala,Medium airport,Kassala,Sudan,KSL,HSKA,
St Mary's,Medium airport,St Mary's,United States,KSM,PASM,KSM
Kostanay West,Medium airport,Kostanay,Kazakhstan,KSN,UAUU,
Kastoria National,Small airport,Kastoria,Greece,KSO,LGKA,
Kosipe,Small airport,Kosipe Mission,Papua New Guinea,KSP,AYOP,
Karshi Khanabad,Small airport,Khanabad,Uzbekistan,KSQ,UTSK,
Federal No 1잺losed,Closed,"Sandy River, AK",United States,KSR,,
Sikasso,Small airport,Sikasso,Mali,KSS,GASK,
Kosti,Small airport,Kosti,Sudan,KST,HSKI,
Kristiansund (Kvernberget),Medium airport,Kvernberget,Norway,KSU,ENKB,
Springvale,Small airport,,Australia,KSV,YSPV,
Kiryat Shmona,Small airport,Kiryat Shmona,Israel,KSW,LLKS,
Yasuru,Small airport,Yasuru,Papua New Guinea,KSX,AYYR,
Kars,Medium airport,Kars,Turkey,KSY,LTCF,
Kotlas,Medium airport,Kotlas,Russia,KSZ,ULKK,
Karratha,Medium airport,Karratha,Australia,KTA,YPKA,
Thorne Bay,Seaplane base,Thorne Bay,United States,KTB,KTB,KTB
Katiola잺losed,Closed,Katiola,C?e d'Ivoire,KTC,,
Kitadaito,Medium airport,Kitadait?jima,Japan,KTD,RORK,
Kerteh,Medium airport,Kerteh,Malaysia,KTE,WMKE,
Takaka,Small airport,,New Zealand,KTF,NZTK,
Ketapang(Rahadi Usman),Medium airport,Ketapang-Borneo Island,Indonesia,KTG,WIOK,
Kratie,Small airport,Kratie,Cambodia,KTI,VDKT,
Kunua잺losed,Closed,Kunua,Papua New Guinea,KTK,,
Kitale,Medium airport,Kitale,Kenya,KTL,HKKT,
Tribhuvan International,Medium airport,Kathmandu,Nepal,KTM,VNKT,
Ketchikan International,Medium airport,Ketchikan,United States,KTN,PAKT,KTN
Kato,Small airport,Kato,Guyana,KTO,SYKT,
Tinson Pen,Medium airport,Tinson Pen,Jamaica,KTP,MKTP,
Kitee,Medium airport,,Finland,KTQ,EFIT,
Tindal,Medium airport,,Australia,KTR,YPTN,
Brevig Mission,Small airport,Brevig Mission,United States,KTS,PFKT,KTS
Kittil?Medium airport,Kittil?Finland,KTT,EFKT,,,
Kota,Medium airport,Kota,India,KTU,VIKO,
Kamarata,Small airport,Kamarata,Venezuela,KTV,SVKM,
Katowice International,Large airport,Katowice,Poland,KTW,EPKT,
Koutiala,Small airport,Koutiala,Mali,KTX,GAKO,
Katukurunda Air Force Base,Small airport,Kalutara,Sri Lanka,KTY,VCCN,
Kwun Tong잺losed,Closed,Kwun Tong,Hong Kong,KTZ,,
Kuantan,Medium airport,Kuantan,Malaysia,KUA,WMKD,
Kuria,Small airport,Kuria,Kiribati,KUC,NGKT,
Kudat,Small airport,Kudat,Malaysia,KUD,WBKT,
Kukudu,Small airport,Kolombangara Island,Solomon Islands,KUE,AGKU,
Kurumoch International,Large airport,Samara,Russia,KUF,UWWW,
Kubin,Small airport,Moa Island,Australia,KUG,YKUB,
Kushiro,Medium airport,Kushiro,Japan,KUH,RJCK,
Kawau Island잺losed,Closed,Kawau Island,New Zealand,KUI,,
Kushimoto잺losed,Closed,Kushimoto,Japan,KUJ,,
Kasigluk,Small airport,Kasigluk,United States,KUK,PFKA,Z09
Kuala Lumpur International,Large airport,Kuala Lumpur,Malaysia,KUL,WMKK,
Yakushima,Medium airport,Yakushima,Japan,KUM,RJFC,
Kaunas International,Medium airport,Kaunas,Lithuania,KUN,EYKA,
Kuopio,Medium airport,Kuopio / Siilinj?vi,Finland,KUO,EFKU,
Kupiano,Small airport,Kupiano,Papua New Guinea,KUP,,
Kuri,Small airport,Kuri,Papua New Guinea,KUQ,AYKU,
Kuran-O-Munjan잺losed,Closed,Kuran-O-Munjan,Afghanistan,KUR,,
Kulusuk,Small airport,Kulusuk,Greenland,KUS,BGKK,
Kopitnari,Medium airport,Kutaisi,Georgia,KUT,UGKO,
Kullu Manali,Medium airport,,India,KUU,VIBR,
Kunsan Air Base,Large airport,Kunsan,South Korea,KUV,RKJK,
Kugururok River잺losed,Closed,Kugururok River,Papua New Guinea,KUW,,
Kuyol,Small airport,,Papua New Guinea,KUX,AYUY,
Kamusi,Small airport,Kamusi,Papua New Guinea,KUY,AYKS,
Alexander the Great International,Medium airport,Kavala,Greece,KVA,LGKV,
Sk?de,Medium airport,Sk?de,Sweden,KVB,ESGR,
King Cove,Small airport,King Cove,United States,KVC,PAVC,KVC
Ganja,Medium airport,Ganja,Azerbaijan,KVD,UBBG,
Kitava잺losed,Closed,Kitava Island,Papua New Guinea,KVE,,
Kavieng,Medium airport,Kavieng,Papua New Guinea,KVG,AYKV,
Kirovsk-Apatity,Small airport,Apatity,Russia,KVK,ULMK,
Kivalina,Medium airport,Kivalina,United States,KVL,PAVL,KVL
Markovo,Small airport,Markovo,Russia,KVM,UHMO,
Korolevu잺losed,Closed,Korolevu,Fiji,KVU,,
Pobedilovo,Medium airport,Kirov,Russia,KVX,USKK,
Bucholz Army Air Field,Medium airport,Kwajalein,Marshall Islands,KWA,PKWA,
Dewadaru잺losed,Closed,Karimunjawa-Karimunjawa Island,Indonesia,KWB,,
Kawadjia잺losed,Closed,Kawadjia,Central African Republic,KWD,,
Longdongbao,Large airport,Guiyang,China,KWE,ZUGY,
Waterfall,Seaplane base,Waterfall,United States,KWF,KWF,KWF
Kryvyi Rih International,Medium airport,Kryvyi Rih,Ukraine,KWG,UKDR,
Khwahan,Small airport,Khwahan,Afghanistan,KWH,OAHN,
Kuwait International,Large airport,Kuwait City,Kuwait,KWI,OKBK,
Gwangju,Medium airport,Gwangju,South Korea,KWJ,RKJJ,
Kwigillingok Seaplane Base잺losed,Closed,Kwigillingok,United States,KWK,,KWK
Guilin Liangjiang International,Large airport,Guilin City,China,KWL,ZGKL,
Kowanyama,Medium airport,Kowanyama,Australia,KWM,YKOW,
Quinhagak,Small airport,Quinhagak,United States,KWN,PAQH,AQH
Kawito,Small airport,Kawito,Papua New Guinea,KWO,AYKW,
West Point Village,Seaplane base,West Point,United States,KWP,KWP,KWP
Kwai Harbour잺losed,Closed,Kwai Harbour,Solomon Islands,KWR,,
Kwailabesi,Small airport,Kwailabesi,Solomon Islands,KWS,AGKW,
Kwethluk,Small airport,Kwethluk,United States,KWT,PFKW,KWT
Kurwina잺losed,Closed,Kurwina,Papua New Guinea,KWV,,
Kiwai잺losed,Closed,Kiwai Island,Papua New Guinea,KWX,,
Kiwayu,Medium airport,Kiwayu,Kenya,KWY,,
Kolwezi,Medium airport,,Congo (Kinshasa),KWZ,FZQM,
Kasaan,Seaplane base,Kasaan,United States,KXA,KXA,KXA
P C Pelser,Medium airport,Klerksdorp,South Africa,KXE,FAKD,
Koro Island,Small airport,Koro Island,Fiji,KXF,NFNO,
Komsomolsk-on-Amur,Medium airport,Komsomolsk-on-Amur,Russia,KXK,UHKK,
Karoola잺losed,Closed,Buka Island,Papua New Guinea,KXR,,
Katiu,Small airport,Katiu,French Polynesia,KXU,NTKT,
Konya,Medium airport,Konya,Turkey,KYA,LTAN,
Yangoonabie잺losed,Closed,Yangoonabie,Australia,KYB,,
Lanyu,Medium airport,Orchid Island,Taiwan,KYD,RCLY,
Rene Mouawad Air Base,Medium airport,Tripoli,Lebanon,KYE,OLKA,
[Duplicate] Yeelirrie,Small airport,Yeelirrie,Australia,KYF,YYLR,
Yalata Mission,Small airport,Yalata Mission,Australia,KYI,YYTA,
Karluk,Small airport,Karluk,United States,KYK,PAKY,KYK
Port Largo잺losed,Closed,Key Largo,United States,KYL,,
Milton Keynes잺losed,Closed,Milton Keynes,United Kingdom,KYN,,
Tampa North Aero Park,Small airport,Tampa,United States,KYO,X39,X39
Kyaukpyu,Medium airport,Kyaukpyu,Burma,KYP,VYKP,
Kayes Dag Dag,Medium airport,,Mali,KYS,GAKY,
Kyauktu,Small airport,Kyauktu,Burma,KYT,VYKU,
Koyukuk,Small airport,Koyukuk,United States,KYU,PFKU,KYU
Yalumet,Small airport,Yalumet,Papua New Guinea,KYX,AYYE,
Kyzyl,Medium airport,Kyzyl,Russia,KYZ,UNKY,
Zachar Bay Seaplane Base잺losed,Closed,Zachar Bay,United States,KZB,,
Kampong Chhnang,Medium airport,Kampong Chhnang,Cambodia,KZC,VDKH,
Krakor,Small airport,Krakor,Cambodia,KZD,VDSY,
Kaintiba,Small airport,Kaintiba,Papua New Guinea,KZF,AYKT,
Kitzingen잺losed,Closed,Kitzingen,Germany,KZG,,
Kizhuyak잺losed,Closed,Kizhuyak,United States,KZH,,
Filippos,Medium airport,Kozani,Greece,KZI,LGKZ,
Kompong Thom잺losed,Closed,Kompong Thom,Cambodia,KZK,,
Kazan International,Large airport,Kazan,Russia,KZN,UWKD,
Kzyl-Orda Southwest,Small airport,Kzyl-Orda,Kazakhstan,KZO,UAOO,
Zafer,Small airport,Alt?nta?,Turkey,KZR,LTBZ,
Kastelorizo,Small airport,Kastelorizo Island,Greece,KZS,LGKJ,
Lamar Municipal,Small airport,Lamar,United States,LAA,KLAA,LAA
Lab Lab,Small airport,Lab Lab Mission,Papua New Guinea,LAB,AYLB,
Layang-Layang,Small airport,Spratley Islands,China,LAC,,
Quatro de Fevereiro,Medium airport,Luanda,Angola,LAD,FNLU,
Nadzab,Medium airport,Lae,Papua New Guinea,LAE,AYNZ,
Purdue University,Medium airport,Lafayette,United States,LAF,KLAF,LAF
La Guaira,Small airport,La Guaira,Venezuela,LAG,,
"Oesman Sadik, Labuha",Small airport,Labuha-Halmahera Island,Indonesia,LAH,WAPH,
Lannion-C?e de Granit,Medium airport,Lannion,France,LAI,LFRO,
Lages,Medium airport,Lages,Brazil,LAJ,SBLJ,
Aklavik/Freddie Carmichael,Medium airport,Aklavik,Canada,LAK,CYKD,
Lakeland Linder Regional,Medium airport,Lakeland,United States,LAL,KLAL,LAL
Los Alamos,Small airport,Los Alamos,United States,LAM,KLAM,LAM
Capital City,Medium airport,Lansing,United States,LAN,KLAN,LAN
Laoag International,Medium airport,Laoag City,Philippines,LAO,RPLI,
Manuel M?quez de Le? International,Medium airport,La Paz,Mexico,LAP,MMLP,
La Abraq,Medium airport,Al Bayda',Libya,LAQ,HLLQ,
Laramie Regional,Medium airport,Laramie,United States,LAR,KLAR,LAR
McCarran International,Large airport,Las Vegas,United States,LAS,KLAS,LAS
Manda Airstrip,Medium airport,Lamu,Kenya,LAU,HKLU,
Lalomalava잺losed,Closed,Lalomalava,Samoa,LAV,,
Lawton Fort Sill Regional,Medium airport,Lawton,United States,LAW,KLAW,LAW
Los Angeles International,Large airport,Los Angeles,United States,LAX,KLAX,LAX
Ladysmith,Medium airport,Ladysmith,South Africa,LAY,FALY,
Bom Jesus da Lapa,Medium airport,Bom Jesus Da Lapa,Brazil,LAZ,SBLP,
Leeds Bradford,Large airport,Leeds,United Kingdom,LBA,EGNM,
Lubbock Preston Smith International,Large airport,Lubbock,United States,LBB,KLBB,LBB
L?eck Blankensee,Medium airport,L?eck,Germany,LBC,EDHL,
Khudzhand,Medium airport,Khudzhand,Tajikistan,LBD,UTDL,
Arnold Palmer Regional,Medium airport,Latrobe,United States,LBE,KLBE,LBE
North Platte Regional Lee Bird Field,Medium airport,North Platte,United States,LBF,KLBF,LBF
Paris-Le Bourget,Medium airport,Paris,France,LBG,LFPB,
Palm Beach,Seaplane base,Sydney,Australia,LBH,,
Albi-Le S?uestre,Medium airport,Albi/Le S?uestre,France,LBI,LFCI,
Komodo (Mutiara II),Small airport,Labuan Bajo-Flores Island,Indonesia,LBJ,WATO,
Liboi,Small airport,Liboi,Kenya,LBK,,
Liberal Mid-America Regional,Medium airport,Liberal,United States,LBL,KLBL,LBL
Luabo잺losed,Closed,Luabo,Mozambique,LBM,,
Lake Baringo,Small airport,Lake Baringo,Kenya,LBN,,
Lusambo,Small airport,Lusambo,Congo (Kinshasa),LBO,FZVI,
Long Banga,Small airport,Long Banga,Malaysia,LBP,,
Lambarene,Medium airport,Lambarene,Gabon,LBQ,FOGR,
L?rea,Small airport,L?rea,Brazil,LBR,SWLB,
Labasa,Medium airport,,Fiji,LBS,NFNL,
Lumberton Regional,Medium airport,Lumberton,United States,LBT,KLBT,LBT
Labuan,Medium airport,Labuan,Malaysia,LBU,WBKL,
Libreville Leon M'ba International,Medium airport,Libreville,Gabon,LBV,FOOL,
Long Bawan,Small airport,Long Bawan-Borneo Island,Indonesia,LBW,WALB,
Lubang,Medium airport,,Philippines,LBX,RPLU,
La Baule-Escoublac,Medium airport,La Baule-Escoublac,France,LBY,LFRE,
Lucapa,Small airport,Lucapa,Angola,LBZ,FNLK,
Larnaca International,Large airport,Larnarca,Cyprus,LCA,LCLK,
Pontes e Lacerda,Small airport,Pontes e Lacerda,Brazil,LCB,SWBG,
Lecce Galatina Air Base,Medium airport,,Italy,LCC,LIBN,
Louis Trichardt,Small airport,Louis Trichardt,South Africa,LCD,FALO,
Goloson International,Medium airport,La Ceiba,Honduras,LCE,MHLC,
El Naranjo잺losed,Closed,El Naranjo,Guatemala,LCF,MGRD,
A Coru?,Medium airport,Culleredo,Spain,LCG,LECO,
Lake Charles Regional,Medium airport,Lake Charles,United States,LCH,KLCH,LCH
Laconia Municipal,Small airport,Laconia,United States,LCI,KLCI,LCI
??? W?adys?aw Reymont,Medium airport,???,Poland,LCJ,EPLL,
Rickenbacker International,Large airport,Columbus,United States,LCK,KLCK,LCK
La Coloma,Medium airport,Pinar del Rio,Cuba,LCL,MULM,
La Cumbre,Small airport,La Cumbre,Argentina,LCM,SACC,
Balcanoona,Small airport,,Australia,LCN,YBLC,
Lague,Small airport,Lague,Congo (Brazzaville),LCO,FCBL,
Loncopue,Small airport,Loncopue,Argentina,LCP,,
Lake City Gateway,Small airport,Lake City,United States,LCQ,KLCQ,LCQ
La Chorrera,Small airport,La Chorrera,Colombia,LCR,,
Las Canas잺losed,Closed,Las Canas,Costa Rica,LCS,,
Lucca-Tassignano,Small airport,Lucca,Italy,LCV,LIQL,
Longyan Guanzhishan,Medium airport,Longyan,China,LCX,ZSLD,
London City,Medium airport,London,United Kingdom,LCY,EGLC,
Malda,Small airport,Malda,India,LDA,VEMH,
Governador Jos?Richa,Medium airport,Londrina,Brazil,LDB,SBLO,
Lindeman Island,Small airport,Lindeman Island,Australia,LDC,YLIN,
Tarbes-Lourdes-Pyr??s,Medium airport,Tarbes/Lourdes/Pyr??s,France,LDE,LFBT,
Leshukonskoye,Small airport,Leshukonskoye,Russia,LDG,ULAL,
Lord Howe Island,Small airport,Lord Howe Island,Australia,LDH,YLHI,
Kikwetu,Small airport,Lindi,Tanzania,LDI,HTLI,
Linden,Small airport,Linden,United States,LDJ,KLDJ,LDJ
Lidk?ing-Hovby잺losed,Closed,Lidk?ing,Sweden,LDK,ESGL,
Mason County,Small airport,Ludington,United States,LDM,KLDM,LDM
Lamidanda,Small airport,Lamidanda,Nepal,LDN,VNLD,
Ladouanie,Small airport,Aurora,Suriname,LDO,SMDO,
Lodar잺losed,Closed,Lodar,Yemen,LDR,,
Lindu,Medium airport,Yichun,China,LDS,ZYLD,
Lahad Datu,Medium airport,Lahad Datu,Malaysia,LDU,WBKD,
Landivisiau Air Base,Medium airport,Landivisiau,France,LDV,LFRJ,
Lansdowne잺losed,Closed,Lansdowne Station,Australia,LDW,,
Saint-Laurent-du-Maroni,Small airport,Saint-Laurent-du-Maroni,French Guiana,LDX,SOOM,
City of Derry,Medium airport,Derry,United Kingdom,LDY,EGAE,
Londolozi,Small airport,Londolozi,South Africa,LDZ,FALD,
Learmonth,Medium airport,Exmouth,Australia,LEA,YPLM,
Lebanon Municipal,Medium airport,Lebanon,United States,LEB,KLEB,LEB
Coronel Hor?io de Mattos,Small airport,Len奧is,Brazil,LEC,SBLE,
Pulkovo,Large airport,St. Petersburg,Russia,LED,ULLI,
Leesburg International,Medium airport,Leesburg,United States,LEE,KLEE,LEE
Lebakeng,Small airport,Lebakeng,Lesotho,LEF,FXLK,
Aleg잺losed,Closed,Aleg,Mauritania,LEG,,
Le Havre Octeville,Medium airport,Le Havre/Octeville,France,LEH,LFOH,
Almer? International,Medium airport,Almer?,Spain,LEI,LEAM,
Leipzig/Halle,Large airport,Leipzig,Germany,LEJ,EDDP,
Tata,Small airport,Lab?Guinea,LEK,GULB,,
Lake Evella,Small airport,,Australia,LEL,YLEV,
Lemmon Municipal,Small airport,Lemmon,United States,LEM,KLEM,LEM
Leon,Medium airport,Le?,Spain,LEN,LELN,
Lekoni잺losed,Closed,Lekoni,Gabon,LEO,,
Leopoldina,Small airport,Leopoldina,Brazil,LEP,SNDN,
Land's End,Medium airport,Land's End,United Kingdom,LEQ,EGHC,
Leinster,Medium airport,,Australia,LER,YLST,
Lesobeng,Small airport,Lesobeng,Lesotho,LES,FXLS,
Alfredo V?quez Cobo International,Medium airport,Leticia,Colombia,LET,SKLT,
Pirineus - la Seu d'Urgel,Small airport,La Seu d'Urgell Pyrenees and Andorra,Spain,LEU,LESU,
Levuka Airfield,Small airport,Bureta,Fiji,LEV,NFNB,
Auburn Lewiston Municipal,Small airport,Auburn/Lewiston,United States,LEW,KLEW,LEW
Blue Grass,Large airport,Lexington,United States,LEX,KLEX,LEX
Lelystad,Medium airport,Lelystad,Netherlands,LEY,EHLE,
La Esperanza,Small airport,La Esperanza,Honduras,LEZ,MHLE,
Lumbo,Small airport,Lumbo,Mozambique,LFB,FQLU,
Langley Air Force Base,Large airport,Hampton,United States,LFI,KLFI,LFI
Angelina County,Medium airport,Lufkin,United States,LFK,KLFK,LFK
Lamerd,Small airport,Lamerd,Iran,LFM,OISR,
Triangle North Executive,Small airport,Louisburg,United States,LFN,KLHZ,LHZ
Kelafo East,Small airport,Kelafo,Ethiopia,LFO,HAKL,
Lakefield,Small airport,Lakefield,Australia,LFP,YLFD,
La Fria,Medium airport,,Venezuela,LFR,SVLF,
Lafayette Regional,Large airport,Lafayette,United States,LFT,KLFT,LFT
Lom?Tokoin,Medium airport,Lom?Togo,LFW,DXXX,,
La Guardia,Large airport,New York,United States,LGA,KLGA,LGA
Long Beach /Daugherty Field/,Medium airport,Long Beach,United States,LGB,KLGB,LGB
Lagrange Callaway,Small airport,Lagrange,United States,LGC,KLGC,LGC
La Grande/Union County,Small airport,La Grande,United States,LGD,KLGD,LGD
Mulan잺losed,Closed,Lake Gregory,Australia,LGE,,
Laguna Army Airfield,Small airport,Yuma Proving Ground(Yuma),United States,LGF,KLGF,LGF
Li?e,Large airport,Li?e,Belgium,LGG,EBLG,
Leigh Creek,Medium airport,,Australia,LGH,YLEC,
Deadman's Cay,Medium airport,Deadman's Cay,Bahamas,LGI,MYLD,
Langkawi International,Medium airport,Langkawi,Malaysia,LGK,WMKL,
Long Lellang,Small airport,Long Datih,Malaysia,LGL,WBGF,
Laiagam잺losed,Closed,Laiagam,Papua New Guinea,LGM,,
Linga Linga,Small airport,Linga Linga,Papua New Guinea,LGN,AYLL,
Langeoog,Small airport,Langeoog,Germany,LGO,EDWL,
Legazpi City International,Medium airport,Legazpi City,Philippines,LGP,RPLP,
Nueva Loja,Small airport,Lago Agrio,Ecuador,LGQ,SENL,
Cochrane,Medium airport,Cochrane,Chile,LGR,SCHR,
Comodoro D.R. Salom?,Medium airport,Malargue,Argentina,LGS,SAMM,
La Gaviota,Small airport,,Colombia,LGT,SKGA,
Logan-Cache,Medium airport,Logan,United States,LGU,KLGU,LGU
London Gatwick,Large airport,London,United Kingdom,LGW,EGKK,
Lugh Ganane,Small airport,Luuq,Somalia,LGX,HCMJ,
Lagunillas,Small airport,Lagunillas,Venezuela,LGY,,
